user_id,datetime,time_of_day,wpm,rawWpm,acc,consistency,restartCount,testDuration,afkDuration,incompleteTestSeconds,correct_characters,incorrect_characters,extra_characters,missed_characters
1,2025-08-03 09:43:57.000,morning,75.99,75.99,97.94,73.9,3,30.0,0,4.3,190,0,0,0
1,2025-08-03 09:18:17.000,morning,81.6,81.6,99.03,82.47,2,30.0,0,36.17,204,0,0,0
1,2025-08-03 09:08:28.000,morning,83.6,83.6,99.05,78.76,0,30.0,0,0.0,209,0,0,0
1,2025-08-03 08:58:36.000,morning,79.99,79.99,98.53,75.87,2,30.0,0,17.17,200,0,0,0
1,2025-08-03 08:31:15.000,morning,71.6,76.4,95.92,78.09,0,30.0,0,0.0,179,2,0,1
1,2025-08-03 08:30:41.000,morning,77.6,80.4,96.57,75.87,4,30.0,0,43.64,194,1,1,1
1,2025-08-03 08:28:22.000,morning,66.39,71.19,96.15,65.71,2,30.01,0,18.54,166,1,0,1
1,2025-08-03 08:27:20.000,morning,67.6,75.2,92.78,74.83,2,30.0,0,7.41,169,5,0,0
1,2025-08-03 07:56:51.000,morning,81.19,81.19,98.55,74.8,1,30.0,0,21.91,203,0,0,0
1,2025-08-03 07:35:48.000,morning,71.59,73.19,96.76,76.66,0,30.0,0,0.0,179,3,0,1
1,2025-08-03 07:35:11.000,morning,72.4,74.0,97.87,69.47,2,30.0,0,17.13,181,1,0,1
1,2025-08-03 07:34:11.000,morning,74.76,74.76,96.91,71.56,3,30.01,0,48.02,187,0,0,0
1,2025-08-03 07:30:22.000,morning,77.19,79.19,97.03,79.02,3,30.0,0,37.11,193,2,0,0
1,2025-08-03 07:28:04.000,morning,76.8,81.99,95.71,73.15,0,30.0,0,0.0,192,2,0,0
1,2025-08-03 07:24:57.000,morning,79.6,82.8,97.62,79.8,0,30.0,0,0.0,199,1,0,0
1,2025-08-03 07:20:30.000,morning,81.6,81.6,97.61,70.47,2,30.0,0,24.01,204,0,0,0
1,2025-08-03 07:19:10.000,morning,81.19,81.19,98.07,78.07,0,30.0,0,0.0,203,0,0,0
1,2025-08-03 05:35:14.000,morning,84.4,85.6,99.53,78.36,1,30.0,0,6.84,211,0,0,1
1,2025-08-03 05:33:03.000,morning,74.79,79.59,96.06,72.31,1,30.0,0,10.5,187,2,1,0
1,2025-08-03 05:31:45.000,morning,79.98,79.98,99.01,79.37,2,30.01,0,17.53,200,0,0,0
1,2025-08-02 08:50:27.000,morning,76.79,76.79,98.97,76.81,1,30.0,0,19.41,192,0,0,0
1,2025-08-02 08:38:42.000,morning,75.2,77.6,96.94,73.87,0,30.0,0,0.0,188,3,0,0
1,2025-08-02 08:33:23.000,morning,74.4,79.19,96.02,75.89,0,30.0,0,0.0,186,2,1,0
1,2025-08-02 07:59:35.000,morning,77.97,79.57,97.52,76.38,0,30.01,0,0.0,195,1,0,1
1,2025-08-02 07:52:52.000,morning,79.58,81.58,97.58,75.08,0,30.01,0,0.0,199,1,0,0
1,2025-08-02 07:17:58.000,morning,79.59,80.79,96.14,73.19,4,30.0,0,54.05,199,2,0,1
1,2025-08-01 18:24:17.000,evening,78.39,82.79,97.6,82.17,0,30.0,0,0.0,196,1,1,0
1,2025-08-01 17:44:27.000,evening,79.59,79.59,98.52,80.66,1,30.0,0,2.53,199,0,0,0
1,2025-08-01 17:43:01.000,evening,74.79,77.59,95.98,77.14,4,30.0,0,23.6,187,2,0,1
1,2025-08-01 17:41:06.000,evening,83.98,83.98,99.53,75.52,0,30.01,0,0.0,210,0,0,0
1,2025-08-01 17:29:55.000,evening,76.4,78.8,97.49,78.51,0,30.0,0,0.0,191,2,0,0
1,2025-08-01 17:29:21.000,evening,77.6,80.0,97.52,79.02,1,30.0,0,9.47,194,3,0,1
1,2025-08-01 16:59:25.000,afternoon,81.17,81.17,100.0,82.65,0,30.01,0,0.0,203,0,0,0
1,2025-08-01 16:58:51.000,afternoon,77.59,80.39,97.54,80.66,0,30.01,0,0.0,194,2,0,0
1,2025-08-01 16:53:44.000,afternoon,75.59,75.59,97.42,76.13,3,30.0,0,38.74,189,0,0,0
1,2025-08-01 16:52:11.000,afternoon,77.6,79.6,97.04,78.19,0,30.0,0,0.0,194,1,0,0
1,2025-08-01 16:51:06.000,afternoon,74.4,76.8,97.44,66.36,0,30.0,0,0.0,186,1,0,0
1,2025-08-01 13:22:53.000,afternoon,75.59,77.59,96.97,73.3,0,30.01,0,0.0,189,1,0,0
1,2025-08-01 12:21:51.000,afternoon,72.37,79.57,97.0,73.64,0,30.01,0,0.0,181,2,0,2
1,2025-08-01 05:38:25.000,morning,75.19,80.79,98.02,78.33,2,30.0,0,25.55,188,2,0,0
1,2025-08-01 05:28:52.000,morning,83.97,83.97,98.6,79.29,0,30.01,0,0.0,210,0,0,0
1,2025-07-31 17:18:50.000,evening,74.39,77.59,97.99,75.54,0,30.01,0,0.0,186,1,0,0
1,2025-07-31 17:18:14.000,evening,69.59,78.79,93.53,72.71,5,30.0,0,35.76,174,6,0,1
1,2025-07-31 17:16:30.000,evening,82.77,82.77,98.1,77.52,6,30.01,0,71.0,207,0,0,0
1,2025-07-31 17:13:11.000,evening,68.0,73.6,96.28,67.32,0,30.0,0,0.0,170,2,0,1
