_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
65562cc527c5c14c2c729cbb,true,111.19,97.94,115.99,77.23,278;2;1;1,time,30,-1,0,30,0,0,true,false,english,,normal,false,false,false,,1700146373000
65562ca527c5c14c2c729ad9,,97.19,95.77,101.59,76.86,243;2;0;1,time,30,-1,3,30,0,15.26,true,false,english,,normal,false,false,false,,1700146341000
65562c6d27c5c14c2c729775,,106.39,96.27,117.59,80.69,266;4;1;2,time,30,-1,1,30,0,5.24,true,false,english,,normal,false,false,false,,1700146285000
65562c4527c5c14c2c729509,,73.18,91.04,79.18,69.89,183;3;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700146245000
65562c2527c5c14c2c7292de,,70.79,92.39,70.79,68.38,177;0;0;0,time,30,-1,2,30,0,2.48,true,false,english_5k,,normal,false,false,false,,1700146213000
65562bfe27c5c14c2c729055,,65.19,97.06,65.19,68.33,163;0;0;0,time,30,-1,0,30,0,0,true,false,english_450k,,normal,false,false,false,,1700146174000
65562bdc27c5c14c2c728e46,true,68.78,96.67,68.78,71.13,172;0;0;0,time,30,-1,0,30.01,0,0,true,false,english_450k,,normal,false,false,false,,1700146140000
65562bb327c5c14c2c728ba4,,65.19,94.22,65.19,66.3,163;0;0;0,time,30,-1,1,30.01,0,1.75,true,false,english_5k,,normal,false,false,false,,1700146099000
65562b8d27c5c14c2c72894a,,71.98,95.31,71.98,58.38,180;0;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700146061000
65562b6d27c5c14c2c72872e,,67.99,95.03,67.99,61.39,170;0;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1700146029000
65562b4a27c5c14c2c7284ef,true,75.19,98.5,79.59,64.23,188;1;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1700145994000
65562b2727c5c14c2c7282aa,,66.78,92.78,75.58,76.47,167;6;1;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700145959000
65562b0727c5c14c2c6eacfb,,68.8,94.71,71.6,65.93,172;2;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1700145927000
6555d1a327c5c14c2ca7bd32,,69.99,91.3,77.99,72.16,175;4;1;0,time,30,-1,1,30,0,15.72,true,false,english_5k,,normal,false,false,false,,1700123043000
6555d17227c5c14c2ca7bbb0,,70.37,94.62,70.37,69.57,176;0;0;0,time,30,-1,5,30.01,0,23.72,true,false,english_5k,,normal,false,false,false,,1700122994000
6555cdf827c5c14c2c9ff69e,,60.78,90.11,63.98,59.66,152;1;0;0,time,30,-1,2,30.01,0,4.83,true,false,english_5k,,normal,false,false,false,,1700122104000
6555cdd027c5c14c2c9ff542,true,73.97,95.36,73.97,68.63,185;0;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700122064000
6555cdac27c5c14c2c9ff413,true,70.37,94.18,70.77,72.16,176;1;0;0,time,30,-1,3,30.01,0,40.01,true,false,english_5k,,normal,false,false,false,,1700122028000
6555cd5b27c5c14c2c9ff175,true,60.78,89.44,63.97,59.2,152;1;0;0,time,30,-1,4,30.01,0,28.98,true,false,english_5k,,normal,false,false,false,,1700121947000
6555cd1627c5c14c2c9fef4f,,77.6,93.36,79.2,65.28,194;3;0;1,time,30,-1,2,30,0,5.1,false,false,english_5k,,normal,false,false,false,,1700121878000
6555ccef27c5c14c2c9feded,true,85.59,95.96,85.59,69.78,214;0;0;0,time,30,-1,2,30,0,13.16,false,false,english_5k,,normal,false,false,false,,1700121839000
